Season,GrandPrix,Driver,Team,GridPosition,FinalPosition,Points,MainCompound,PitStops,AvgLapTime,AirTemp,TrackTemp,Rain,Top10,Top5,Top3,Victory
2021,Pre-Season Test,VER,Red Bull Racing,1.0,1.0,25.0,HARD,3,101.367,28.148447204968942,37.47080745341616,False,1,1,1,1
2021,Pre-Season Test,HAM,Mercedes,2.0,2.0,19.0,HARD,3,101.39080357142858,28.148447204968942,37.47080745341616,False,1,1,1,0
2021,Pre-Season Test,PER,Red Bull Racing,3.0,3.0,15.0,MEDIUM,3,102.12098214285716,28.148447204968942,37.47080745341616,False,1,1,1,0
2021,Pre-Season Test,LEC,Ferrari,4.0,4.0,12.0,HARD,3,102.2999642857143,28.148447204968942,37.47080745341616,False,1,1,0,0
2021,Pre-Season Test,RIC,McLaren,6.0,5.0,10.0,HARD,3,102.73939285714285,28.148447204968942,37.47080745341616,False,1,1,0,0
2021,Pre-Season Test,BOT,Mercedes,9.0,6.0,8.0,HARD,3,102.79785714285715,28.148447204968942,37.47080745341616,False,1,0,0,0
2021,Pre-Season Test,SAI,Ferrari,5.0,7.0,6.0,HARD,3,102.858875,28.148447204968942,37.47080745341616,False,1,0,0,0
2021,Pre-Season Test,NOR,McLaren,7.0,8.0,4.0,HARD,3,102.87405357142858,28.148447204968942,37.47080745341616,False,1,0,0,0
2021,Pre-Season Test,TSU,AlphaTauri,10.0,9.0,2.0,HARD,3,103.81965454545455,28.148447204968942,37.47080745341616,False,1,0,0,0
2021,Pre-Season Test,VET,Aston Martin,18.0,10.0,1.0,MEDIUM,3,103.85670909090908,28.148447204968942,37.47080745341616,False,1,0,0,0
2021,Pre-Season Test,GIO,Alfa Romeo Racing,12.0,11.0,0.0,HARD,3,104.02932727272729,28.148447204968942,37.47080745341616,False,0,0,0,0
2021,Pre-Season Test,STR,Aston Martin,13.0,12.0,0.0,MEDIUM,3,104.28714545454544,28.148447204968942,37.47080745341616,False,0,0,0,0
2021,Pre-Season Test,RAI,Alfa Romeo Racing,15.0,13.0,0.0,MEDIUM,3,104.34898181818184,28.148447204968942,37.47080745341616,False,0,0,0,0
2021,Pre-Season Test,RUS,Williams,20.0,14.0,0.0,HARD,3,104.39547272727272,28.148447204968942,37.47080745341616,False,0,0,0,0
2021,Pre-Season Test,LAT,Williams,14.0,15.0,0.0,HARD,3,104.9729090909091,28.148447204968942,37.47080745341616,False,0,0,0,0
2021,Pre-Season Test,MSC,Haas F1 Team,16.0,16.0,0.0,MEDIUM,3,105.22525925925926,28.148447204968942,37.47080745341616,False,0,0,0,0
2021,Pre-Season Test,MAZ,Haas F1 Team,17.0,17.0,0.0,MEDIUM,4,106.84564814814814,28.148447204968942,37.47080745341616,False,0,0,0,0
2021,Pre-Season Test,ALO,Alpine,19.0,18.0,0.0,HARD,4,104.27089795918369,28.148447204968942,37.47080745341616,False,0,0,0,0
2021,Pre-Season Test,OCO,Alpine,11.0,19.0,0.0,HARD,3,106.166775,28.148447204968942,37.47080745341616,False,0,0,0,0
2021,Pre-Season Test,GAS,AlphaTauri,8.0,20.0,0.0,MEDIUM,2,109.07442857142858,28.148447204968942,37.47080745341616,False,0,0,0,0
2021,Bahrain Grand Prix,HAM,Mercedes,2.0,1.0,25.0,HARD,3,97.5862,20.53834586466165,27.627819548872186,False,1,1,1,1
2021,Bahrain Grand Prix,VER,Red Bull Racing,1.0,2.0,18.0,MEDIUM,3,97.57529090909092,20.53834586466165,27.627819548872186,False,1,1,1,0
2021,Bahrain Grand Prix,BOT,Mercedes,3.0,3.0,16.0,HARD,4,98.31056363636364,20.53834586466165,27.627819548872186,False,1,1,1,0
2021,Bahrain Grand Prix,NOR,McLaren,7.0,4.0,12.0,HARD,3,98.51447272727272,20.53834586466165,27.627819548872186,False,1,1,0,0
2021,Bahrain Grand Prix,PER,Red Bull Racing,0.0,5.0,10.0,MEDIUM,4,99.57042857142856,20.53834586466165,27.627819548872186,False,1,1,0,0
2021,Bahrain Grand Prix,LEC,Ferrari,4.0,6.0,8.0,HARD,3,98.68725454545456,20.53834586466165,27.627819548872186,False,1,0,0,0
2021,Bahrain Grand Prix,RIC,McLaren,6.0,7.0,6.0,HARD,3,98.8882909090909,20.53834586466165,27.627819548872186,False,1,0,0,0
2021,Bahrain Grand Prix,SAI,Ferrari,8.0,8.0,4.0,MEDIUM,3,99.83923214285711,20.53834586466165,27.627819548872186,False,1,0,0,0
2021,Bahrain Grand Prix,TSU,AlphaTauri,13.0,9.0,2.0,HARD,3,100.17123214285714,20.53834586466165,27.627819548872186,False,1,0,0,0
2021,Bahrain Grand Prix,STR,Aston Martin,10.0,10.0,1.0,HARD,3,100.1894642857143,20.53834586466165,27.627819548872186,False,1,0,0,0
